ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,287.50406,277.97357,276.25256,274.04495
2022-06-01 00:10,288.63348,278.68292,276.69995,273.5871
2022-06-01 00:20,289.8272,279.39822,277.14,272.98572
2022-06-01 00:30,290.84814,280.05826,277.4545,272.082
2022-06-01 00:40,291.85645,280.75684,277.50888,270.6508
2022-06-01 00:50,292.03198,280.7914,277.14575,269.1395
2022-06-01 01:00,291.47336,280.13702,276.3528,267.82385
2022-06-01 01:10,290.27628,278.88986,275.19427,266.71808
2022-06-01 01:20,289.10675,277.683,274.29388,266.4628
2022-06-01 01:30,287.66672,276.24045,273.31552,266.56458
2022-06-01 01:40,286.36575,274.95886,272.5866,267.1797
2022-06-01 01:50,285.26044,273.94656,271.78708,267.34363
2022-06-01 02:00,284.27777,273.14343,271.18124,267.57077
2022-06-01 02:10,283.32553,272.36426,270.56396,267.6397
2022-06-01 02:20,282.88458,272.00977,270.24167,267.53983
2022-06-01 02:30,282.51514,271.6862,269.9049,267.22223
2022-06-01 02:40,282.43262,271.6119,269.7694,266.9162
2022-06-01 02:50,282.37036,271.5006,269.57513,266.41177
2022-06-01 03:00,282.46198,271.50787,269.48288,265.90973
2022-06-01 03:10,282.5355,271.4443,269.32166,265.31125
2022-06-01 03:20,282.5817,271.39166,269.19293,264.7429
2022-06-01 03:30,282.4627,271.1592,268.912,264.09763
2022-06-01 03:40,282.21982,270.8004,268.53662,263.50467
2022-06-01 03:50,281.64346,270.2322,267.96262,262.91476
2022-06-01 04:00,281.11154,269.6833,267.4377,262.51746
2022-06-01 04:10,280.40598,268.93692,266.74622,262.08215
2022-06-01 04:20,279.7692,268.25797,266.1319,261.76987
2022-06-01 04:30,279.11487,267.54987,265.4967,261.47244
2022-06-01 04:40,278.74426,267.13278,265.1353,261.3843
2022-06-01 04:50,278.47174,266.81412,264.86035,261.32837
2022-06-01 05:00,278.48087,266.79987,264.85995,261.4201
2022-06-01 05:10,278.57657,266.88196,264.9356,261.5005
2022-06-01 05:20,278.8059,267.1331,265.15317,261.60043
2022-06-01 05:30,278.98157,267.34143,265.317,261.59726
2022-06-01 05:40,279.13608,267.56088,265.47998,261.53668
2022-06-01 05:50,279.18558,267.67752,265.5415,261.38974
2022-06-01 06:00,279.17163,267.7378,265.55484,261.23355
2022-06-01 06:10,279.0381,267.6662,265.44928,261.0335
2022-06-01 06:20,278.85245,267.5392,265.3024,260.86282
2022-06-01 06:30,278.56082,267.28708,265.0451,260.66464
2022-06-01 06:40,278.28983,267.04968,264.81323,260.54877
2022-06-01 06:50,277.87167,266.65924,264.43964,260.34833
2022-06-01 07:00,277.288,266.0976,263.89062,259.9855
2022-06-01 07:10,276.54446,265.38257,263.17914,259.50165
2022-06-01 07:20,275.63177,264.5479,262.35526,258.90607
2022-06-01 07:30,274.5816,263.7851,261.58603,259.60788
2022-06-01 07:40,273.9355,262.95535,260.22998,263.53235
2022-06-01 07:50,273.62997,262.36456,259.06754,267.7003
2022-06-01 08:00,273.71854,262.19733,258.31195,272.48447
2022-06-01 08:10,275.06256,263.17908,258.66638,279.08893
2022-06-01 08:20,276.3957,264.53247,260.7879,286.9136
2022-06-01 08:30,278.66602,267.76205,265.42712,295.68332
2022-06-01 08:40,279.89886,274.4319,274.8706,300.3874
2022-06-01 08:50,282.5155,283.74103,286.8411,304.24118
2022-06-01 09:00,292.3635,291.30124,294.57486,310.81314
2022-06-01 09:10,305.49347,298.17194,301.04477,315.46796
2022-06-01 09:20,317.90967,305.70068,307.75928,318.39648
2022-06-01 09:30,328.17194,313.6062,313.5678,321.44397
2022-06-01 09:40,338.45737,323.10278,319.9924,323.57602
2022-06-01 09:50,347.23193,331.2678,327.38303,324.6638
2022-06-01 10:00,355.42426,339.28387,334.22653,321.5927
2022-06-01 10:10,360.44867,343.9166,338.82272,317.80362
2022-06-01 10:20,363.6764,346.5896,341.44247,313.22232
2022-06-01 10:30,364.5499,347.3559,342.06436,308.78833
2022-06-01 10:40,364.34952,347.10577,341.66077,305.4462
2022-06-01 10:50,362.2377,345.05957,339.3912,305.8808
2022-06-01 11:00,359.01337,341.9507,336.00586,307.44742
2022-06-01 11:10,355.26297,338.23816,332.0141,308.9363
2022-06-01 11:20,350.07388,333.27194,328.07065,312.8716
2022-06-01 11:30,343.88443,328.3376,324.79413,315.4264
2022-06-01 11:40,338.05118,324.16818,322.04395,314.61914
2022-06-01 11:50,330.14792,320.40125,318.58862,313.80414
2022-06-01 12:00,326.10617,317.27097,315.4993,311.25937
2022-06-01 12:10,322.81107,314.09647,312.2818,308.2563
2022-06-01 12:20,320.2936,311.56015,309.65222,305.8904
2022-06-01 12:30,317.8546,308.9295,306.9274,303.13782
2022-06-01 12:40,316.42633,306.97644,304.77103,300.44998
2022-06-01 12:50,315.45093,305.2586,302.762,297.54453
2022-06-01 13:00,315.09164,304.24414,301.23236,294.49628
2022-06-01 13:10,314.14142,302.83493,299.37714,291.4446
2022-06-01 13:20,312.75394,301.28586,297.7141,289.18475
2022-06-01 13:30,310.58075,299.0693,295.6297,287.13388
2022-06-01 13:40,308.43042,296.94363,293.8236,285.86447
2022-06-01 13:50,305.9815,294.49878,291.8553,284.87457
2022-06-01 14:00,303.83316,292.4259,290.16986,284.15897
2022-06-01 14:10,301.61307,290.35416,288.2936,283.06094
2022-06-01 14:20,299.8304,288.71548,286.8222,282.30228
2022-06-01 14:30,298.26794,287.27524,285.46252,281.3814
