ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,279.8281,276.81424,274.40076,267.54285
2022-06-01 00:10,281.32755,275.74265,273.91705,266.53555
2022-06-01 00:20,283.5942,275.60376,273.73218,263.9305
2022-06-01 00:30,285.80692,276.22754,273.65414,261.4509
2022-06-01 00:40,286.62726,276.876,273.9836,259.18228
2022-06-01 00:50,285.8157,277.32596,273.82297,258.0652
2022-06-01 01:00,284.95804,277.10187,273.1821,257.467
2022-06-01 01:10,284.09854,276.63705,272.60498,257.86774
2022-06-01 01:20,282.44037,276.2779,272.05862,258.09662
2022-06-01 01:30,280.47424,275.45926,271.02866,259.35663
2022-06-01 01:40,279.1987,274.4444,270.0227,259.43057
2022-06-01 01:50,277.29108,273.29178,269.33658,261.6944
2022-06-01 02:00,275.72162,273.52765,269.38953,261.73868
2022-06-01 02:10,275.0133,273.14902,268.98395,261.32047
2022-06-01 02:20,274.99368,273.01407,269.2334,260.97467
2022-06-01 02:30,275.7045,272.40656,268.70932,260.96512
2022-06-01 02:40,276.01123,272.5462,268.43085,261.0766
2022-06-01 02:50,276.1829,272.69006,268.5091,260.03827
2022-06-01 03:00,276.37073,272.5597,268.45975,259.41162
2022-06-01 03:10,277.054,272.20862,268.12622,258.13022
2022-06-01 03:20,277.24884,272.08154,267.38348,257.4546
2022-06-01 03:30,277.48657,272.3185,267.26346,255.32005
2022-06-01 03:40,277.125,272.55652,267.28265,254.5598
2022-06-01 03:50,276.8676,272.49017,267.0758,254.09322
2022-06-01 04:00,276.31235,272.07523,266.5027,254.483
2022-06-01 04:10,275.507,271.70114,266.33975,254.46332
2022-06-01 04:20,274.7441,270.5238,265.33408,254.69711
2022-06-01 04:30,273.3828,269.36966,264.39532,255.92441
2022-06-01 04:40,273.05487,269.6135,264.5539,256.3209
2022-06-01 04:50,273.18744,269.56046,264.5018,256.76535
2022-06-01 05:00,272.55835,270.07864,265.10773,256.77902
2022-06-01 05:10,272.29672,269.9435,264.86288,256.17047
2022-06-01 05:20,272.41284,269.934,264.6607,255.22511
2022-06-01 05:30,272.51547,269.91193,264.23154,254.69044
2022-06-01 05:40,272.31375,270.22043,263.5355,253.9579
2022-06-01 05:50,271.8628,269.68744,262.88998,254.09439
2022-06-01 06:00,271.99503,269.40054,262.4667,253.91403
2022-06-01 06:10,271.84955,269.2612,262.1146,253.75499
2022-06-01 06:20,271.2347,269.92047,262.49,252.87747
2022-06-01 06:30,272.1843,269.70688,262.1666,252.36237
2022-06-01 06:40,273.19424,269.8516,261.70868,251.44463
2022-06-01 06:50,273.68057,270.15125,261.83124,251.48766
2022-06-01 07:00,274.60614,270.2309,262.23926,251.79636
2022-06-01 07:10,274.71573,270.21262,262.62552,251.94383
2022-06-01 07:20,275.22122,269.8409,262.9247,252.38803
2022-06-01 07:30,274.67093,270.09482,263.95633,252.91447
2022-06-01 07:40,273.64694,269.61014,264.13757,254.58994
2022-06-01 07:50,273.19583,269.57388,263.94116,256.78314
2022-06-01 08:00,272.66232,269.19168,265.36255,264.4662
2022-06-01 08:10,277.74905,269.7215,267.46143,276.52747
2022-06-01 08:20,277.90027,269.5262,267.57178,285.23602
2022-06-01 08:30,278.48337,269.5894,272.41174,292.87643
2022-06-01 08:40,277.09717,276.73145,283.08047,298.77466
2022-06-01 08:50,276.06775,288.5374,294.38174,300.4838
2022-06-01 09:00,280.87894,294.9442,301.13248,300.93283
2022-06-01 09:10,291.1913,295.8051,304.1748,303.01965
2022-06-01 09:20,304.64737,298.69855,306.8284,306.92352
2022-06-01 09:30,317.96613,303.6176,311.57428,311.29245
2022-06-01 09:40,328.73203,315.94266,314.5884,311.25168
2022-06-01 09:50,336.1334,326.68384,323.98868,311.6937
2022-06-01 10:00,341.57596,332.3612,329.56082,308.05264
2022-06-01 10:10,347.27878,337.44592,332.72696,302.4931
2022-06-01 10:20,351.85117,339.94397,333.8906,296.64044
2022-06-01 10:30,354.0164,341.86258,334.59366,296.12372
2022-06-01 10:40,356.29303,343.31168,335.8025,294.3259
2022-06-01 10:50,355.56787,341.4738,333.82913,294.24246
2022-06-01 11:00,353.0177,337.2266,329.3429,297.1072
2022-06-01 11:10,347.78696,332.77145,325.13077,299.8638
2022-06-01 11:20,338.88818,326.76694,320.73828,302.4223
2022-06-01 11:30,330.21893,320.62756,316.6441,305.07797
2022-06-01 11:40,323.4887,316.7939,313.54218,301.7019
2022-06-01 11:50,316.43915,314.81863,313.69858,301.8872
2022-06-01 12:00,312.33386,313.33624,312.3318,301.01596
