,수위
0,1.2
1,1.2
2,1.2
3,1.2
4,1.2
5,1.2
6,1.2
7,1.19
8,1.19
9,1.19
10,1.19
11,1.2
12,1.2
13,1.2
14,1.2
15,1.2
16,1.2
17,1.2
18,1.2
19,1.2
20,1.21
21,1.21
22,1.21
23,1.21
24,1.21
25,1.21
26,1.21
27,1.21
28,1.21
29,1.21
30,1.21
31,1.21
32,1.22
33,1.22
34,1.22
35,1.22
36,1.22
37,1.22
38,1.22
39,1.22
40,1.22
41,1.21
42,1.21
43,1.21
44,1.21
45,1.21
46,1.21
47,1.2
48,1.2
49,1.2
50,1.19
51,1.19
52,1.19
53,1.19
54,1.18
55,1.18
56,1.18
57,1.18
58,1.18
59,1.18
60,1.17
61,1.17
62,1.16
63,1.16
64,1.15
65,1.15
66,1.15
67,1.15
68,1.15
69,1.15
70,1.15
71,1.15
72,1.15
73,1.15
74,1.15
75,1.15
76,1.15
77,1.15
78,1.15
79,1.15
80,1.15
81,1.15
82,1.15
83,1.15
84,1.15
85,1.15
86,1.15
87,1.15
88,1.15
89,1.15
90,1.15
91,1.15
92,1.15
93,1.15
94,1.15
95,1.15
96,1.16
97,1.16
98,1.16
99,1.16
100,1.16
101,1.16
102,1.16
103,1.16
104,1.16
105,1.16
106,1.16
107,1.16
108,1.16
109,1.16
110,1.16
111,1.16
112,1.16
113,1.16
114,1.16
115,1.16
116,1.15
117,1.15
118,1.14
119,1.14
120,1.14
121,1.14
122,1.13
123,1.13
124,1.13
125,1.13
126,1.12
127,1.12
128,1.12
129,1.12
130,1.12
131,1.12
132,1.12
133,1.12
134,1.12
135,1.12
136,1.12
137,1.12
138,1.12
139,1.12
140,1.12
141,1.12
142,1.12
143,1.12
144,1.13
145,1.13
146,1.14
147,1.14
148,1.14
149,1.14
150,1.14
151,1.14
152,1.14
153,1.14
154,1.13
155,1.13
156,1.13
157,1.13
158,1.13
159,1.12
160,1.12
161,1.12
162,1.11
163,1.11
164,1.11
165,1.11
166,1.11
167,1.1
168,1.1
169,1.1
170,1.1
171,1.1
172,1.09
173,1.09
174,1.09
175,1.09
176,1.09
177,1.09
178,1.09
179,1.09
180,1.09
181,1.09
182,1.1
183,1.1
184,1.1
185,1.11
186,1.12
187,1.12
188,1.12
189,1.13
190,1.13
191,1.13
192,1.13
193,1.13
194,1.13
195,1.14
196,1.14
197,1.14
198,1.14
199,1.15
200,1.15
201,1.15
202,1.15
203,1.15
204,1.15
205,1.15
206,1.15
207,1.15
208,1.15
209,1.16
210,1.16
211,1.16
212,1.16
213,1.16
214,1.16
215,1.16
216,1.16
217,1.16
218,1.16
219,1.16
220,1.16
221,1.16
222,1.16
223,1.16
224,1.16
225,1.16
226,1.16
227,1.16
228,1.16
229,1.16
230,1.17
231,1.17
232,1.17
233,1.17
234,1.18
235,1.18
236,1.19
237,1.2
238,1.22
239,1.23
240,1.21
241,1.19
242,1.19
243,1.19
244,1.2
245,1.2
246,1.2
247,1.2
248,1.2
249,1.19
250,1.18
251,1.18
252,1.17
253,1.17
254,1.17
255,1.17
256,1.16
257,1.16
258,1.16
259,1.16
260,1.15
261,1.15
262,1.15
263,1.15
264,1.15
265,1.15
266,1.14
267,1.14
268,1.14
269,1.14
270,1.14
271,1.13
272,1.13
273,1.13
274,1.13
275,1.13
276,1.13
277,1.13
278,1.13
279,1.13
280,1.13
281,1.13
282,1.13
283,1.13
284,1.13
285,1.13
286,1.13
287,1.13
288,1.13
289,1.13
290,1.13
291,1.13
292,1.13
293,1.15
294,1.15
295,1.15
296,1.15
297,1.14
298,1.14
299,1.14
300,1.14
301,1.15
302,1.16
303,1.16
304,1.16
305,1.16
306,1.16
307,1.16
308,1.16
309,1.16
310,1.16
311,1.17
312,1.17
313,1.17
314,1.17
315,1.17
316,1.17
317,1.17
318,1.17
319,1.18
320,1.18
321,1.18
322,1.18
323,1.18
324,1.18
325,1.19
326,1.19
327,1.19
328,1.19
329,1.19
330,1.19
331,1.19
332,1.19
333,1.18
334,1.18
335,1.18
336,1.18
337,1.18
338,1.18
339,1.18
340,1.18
341,1.18
342,1.18
343,1.18
344,1.18
345,1.19
346,1.19
347,1.2
348,1.21
349,1.21
350,1.22
351,1.22
352,1.2
353,1.2
354,1.2
355,1.2
356,1.2
357,1.2
358,1.2
359,1.2
360,1.19
361,1.19
362,1.18
363,1.18
364,1.18
365,1.18
366,1.17
367,1.16
368,1.15
369,1.14
370,1.13
371,1.12
372,1.11
373,1.11
374,1.11
375,1.11
376,1.11
377,1.11
378,1.11
379,1.11
380,1.11
381,1.11
382,1.11
383,1.12
384,1.12
385,1.13
386,1.13
387,1.13
388,1.13
389,1.13
390,1.14
391,1.14
392,1.14
393,1.14
394,1.14
395,1.14
396,1.14
397,1.13
398,1.13
399,1.13
400,1.13
401,1.13
402,1.13
403,1.12
404,1.11
405,1.1
406,1.09
407,1.09
408,1.08
409,1.07
410,1.07
411,1.07
412,1.08
413,1.09
414,1.09
415,1.08
416,1.07
417,1.07
418,1.06
419,1.06
420,1.07
421,1.07
422,1.07
423,1.07
424,1.07
425,1.07
426,1.07
427,1.07
428,1.07
429,1.07
430,1.08
431,1.08
432,1.08
433,1.08
434,1.08
435,1.08
436,1.1
437,1.1
438,1.11
439,1.11
440,1.11
441,1.11
442,1.12
443,1.12
444,1.13
445,1.14
446,1.11
447,1.15
448,1.16
449,1.16
450,1.16
451,1.16
452,1.16
453,1.16
454,1.16
455,1.17
456,1.17
457,1.17
458,1.17
459,1.17
460,1.17
461,1.17
462,1.17
463,1.17
464,1.17
465,1.17
466,1.17
467,1.17
468,1.17
469,1.17
470,1.17
471,1.17
472,1.17
473,1.17
474,1.17
475,1.17
476,1.17
477,1.17
478,1.17
479,1.17
480,1.17
481,1.17
482,1.17
483,1.17
484,1.17
485,1.17
486,1.18
487,1.19
488,1.2
489,1.21
490,1.22
491,1.21
492,1.19
493,1.19
494,1.19
495,1.19
496,1.19
497,1.19
498,1.19
499,1.18
500,1.18
501,1.17
502,1.17
503,1.17
504,1.16
505,1.16
506,1.16
507,1.16
508,1.15
509,1.15
510,1.15
511,1.14
512,1.14
513,1.14
514,1.14
515,1.13
516,1.13
517,1.13
518,1.13
519,1.13
520,1.13
521,1.13
522,1.13
523,1.13
524,1.13
525,1.12
526,1.12
527,1.12
528,1.12
529,1.12
530,1.12
531,1.12
532,1.12
533,1.12
534,1.12
535,1.12
536,1.11
537,1.11
538,1.12
539,1.13
540,1.13
541,1.13
542,1.13
543,1.13
544,1.13
545,1.13
546,1.13
547,1.14
548,1.13
549,1.12
550,1.11
551,1.11
552,1.1
553,1.09
554,1.09
555,1.1
556,1.11
557,1.12
558,1.12
559,1.11
560,1.11
561,1.11
562,1.11
563,1.11
564,1.12
565,1.13
566,1.13
567,1.13
568,1.13
569,1.13
570,1.13
571,1.13
572,1.14
573,1.14
574,1.15
575,1.15
576,1.16
577,1.16
578,1.16
579,1.16
580,1.16
581,1.16
582,1.16
583,1.15
584,1.15
585,1.15
586,1.14
587,1.14
588,1.14
589,1.14
590,1.13
591,1.13
592,1.12
593,1.12
594,1.12
595,1.12
596,1.11
597,1.11
598,1.11
599,1.1
600,1.1
601,1.1
602,1.1
603,1.1
604,1.09
605,1.09
606,1.09
607,1.09
608,1.08
609,1.08
610,1.08
611,1.08
612,1.08
613,1.08
614,1.07
615,1.07
616,1.07
617,1.07
618,1.07
619,1.07
620,1.07
621,1.07
622,1.07
623,1.07
624,1.07
625,1.07
626,1.07
627,1.07
628,1.07
629,1.07
630,1.07
631,1.07
632,1.09
633,1.12
634,1.14
635,1.15
636,1.17
637,1.18
638,1.19
639,1.18
640,1.17
641,1.18
642,1.18
643,1.19
644,1.2
645,1.21
646,1.2
647,1.19
648,1.19
649,1.18
650,1.18
651,1.18
652,1.18
653,1.18
654,1.18
655,1.17
656,1.16
657,1.16
