,0
0,8.250
1,10.090
2,10.090
3,10.040
4,9.510
5,8.700
6,8.610
7,8.660
8,8.660
9,8.660
10,8.990
11,9.660
12,8.970
13,10.220
14,10.420
15,10.810
16,11.220
17,10.870
18,9.690
19,10.810
20,10.810
21,10.810
22,10.780
23,9.600
24,9.690
25,9.060
26,9.710
27,9.710
28,9.710
29,9.710
30,10.050
31,10.420
32,10.500
33,10.810
34,10.810
35,10.630
36,10.410
37,10.420
38,10.320
39,10.090
40,10.090
41,10.090
42,10.050
43,9.710
44,9.710
45,9.810
46,10.090
47,10.220
48,10.780
49,10.970
50,11.110
51,11.140
52,11.160
53,11.140
54,11.140
55,11.050
56,10.930
57,10.810
58,10.810
59,10.810
