ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,284.16986,278.1236,276.17517,274.252
2022-06-01 00:10,284.26538,276.65863,274.74805,272.2389
2022-06-01 00:20,286.04254,276.57098,273.80988,270.2679
2022-06-01 00:30,287.88342,276.7391,272.80096,267.3299
2022-06-01 00:40,288.75003,277.46964,273.21274,264.41354
2022-06-01 00:50,289.63663,277.99405,273.11572,261.7369
2022-06-01 01:00,289.19086,278.3165,272.8487,260.89386
2022-06-01 01:10,288.40988,278.3059,272.0586,260.8141
2022-06-01 01:20,287.25305,277.60614,271.3276,260.46683
2022-06-01 01:30,286.40634,277.1678,270.84293,260.9197
2022-06-01 01:40,284.66858,276.30606,269.72394,262.09045
2022-06-01 01:50,283.0557,275.41776,268.4871,261.76486
2022-06-01 02:00,281.3711,274.18948,267.2829,263.99237
2022-06-01 02:10,280.57648,273.83472,267.1007,265.1865
2022-06-01 02:20,279.5103,272.71048,266.25717,264.11154
2022-06-01 02:30,279.7457,272.8691,266.0969,263.8874
2022-06-01 02:40,279.8604,272.50946,265.58636,263.58527
2022-06-01 02:50,279.61697,272.12375,265.18674,262.96967
2022-06-01 03:00,279.16296,271.6728,264.50854,261.29077
2022-06-01 03:10,279.80096,271.92664,264.94345,260.55048
2022-06-01 03:20,280.021,271.87265,265.07797,259.64716
2022-06-01 03:30,280.18158,271.86548,265.2832,258.8085
2022-06-01 03:40,280.41354,272.12488,265.54144,256.724
2022-06-01 03:50,279.83524,271.84085,265.02222,256.28143
2022-06-01 04:00,279.09183,271.35565,264.35278,255.0897
2022-06-01 04:10,278.40503,270.92526,263.84097,255.01175
2022-06-01 04:20,277.6014,270.40164,263.11002,254.74205
2022-06-01 04:30,277.2728,269.29874,262.66687,254.5573
2022-06-01 04:40,276.36615,268.34906,262.06525,254.80493
2022-06-01 04:50,274.94846,267.9257,260.8519,255.4094
2022-06-01 05:00,275.38635,267.78906,260.72818,256.34323
2022-06-01 05:10,275.45996,268.01328,261.14572,256.02765
2022-06-01 05:20,275.46753,268.13657,261.30984,255.37071
2022-06-01 05:30,275.5023,268.64594,261.45242,254.42818
2022-06-01 05:40,275.12354,268.25732,261.00964,254.72345
2022-06-01 05:50,275.24478,268.52713,261.1248,254.40747
2022-06-01 06:00,274.69543,268.03192,260.4923,254.04616
2022-06-01 06:10,274.3391,267.86798,260.15405,253.50049
2022-06-01 06:20,274.02505,267.73712,259.85114,253.22849
2022-06-01 06:30,273.7337,267.93958,259.70102,252.22266
2022-06-01 06:40,273.82462,268.31076,259.82178,251.67429
2022-06-01 06:50,274.16104,268.79898,260.08673,251.11995
2022-06-01 07:00,273.0665,268.23944,259.16055,251.39264
2022-06-01 07:10,273.25592,268.1677,259.09506,251.50098
2022-06-01 07:20,273.9566,268.1885,259.55847,251.6757
2022-06-01 07:30,274.72574,268.39603,260.2865,251.74002
2022-06-01 07:40,275.54883,268.8538,260.7834,251.69629
2022-06-01 07:50,275.6668,268.52536,260.87335,253.05399
2022-06-01 08:00,275.58044,268.31168,261.32623,254.29796
2022-06-01 08:10,276.11505,268.2923,261.32333,259.5429
2022-06-01 08:20,277.5114,268.8263,261.81717,276.55106
2022-06-01 08:30,279.19028,270.5824,264.0133,284.88074
2022-06-01 08:40,280.68152,270.49802,268.5061,291.64584
2022-06-01 08:50,280.80975,275.20847,280.44244,299.39355
2022-06-01 09:00,281.92325,287.7413,291.4115,305.26907
2022-06-01 09:10,288.93286,292.00803,296.02704,308.16492
2022-06-01 09:20,297.9462,294.97134,298.6872,310.70618
2022-06-01 09:30,309.2252,298.9737,304.4621,313.2368
2022-06-01 09:40,318.72284,303.47647,308.8695,313.92856
2022-06-01 09:50,328.05524,312.7146,312.714,311.9339
2022-06-01 10:00,338.759,324.414,323.31354,311.37558
2022-06-01 10:10,346.2134,332.49075,329.63553,308.95108
2022-06-01 10:20,351.66727,337.20786,331.85916,305.48468
2022-06-01 10:30,354.93378,339.51566,333.61346,302.67694
2022-06-01 10:40,357.16315,341.6163,333.97406,299.91797
2022-06-01 10:50,358.4978,342.9216,333.46378,296.74887
2022-06-01 11:00,357.87527,341.64792,331.65756,295.78983
2022-06-01 11:10,354.70575,337.91226,328.74768,298.18484
2022-06-01 11:20,349.89102,332.70508,324.21973,302.2527
2022-06-01 11:30,342.3655,326.47137,319.16028,305.517
2022-06-01 11:40,333.94315,321.57925,317.21512,305.92798
2022-06-01 11:50,329.0206,319.66605,314.58746,303.5284
2022-06-01 12:00,325.2174,317.90588,312.44653,303.69287
2022-06-01 12:10,321.5908,315.4159,309.30975,302.88647
2022-06-01 12:20,318.38977,312.31982,307.21268,302.14087
2022-06-01 12:30,315.90472,307.91525,304.06992,299.38156
2022-06-01 12:40,314.87198,305.48883,301.8801,296.05103
2022-06-01 12:50,314.89142,304.43246,300.49112,293.1751
2022-06-01 13:00,315.19183,304.86853,298.949,290.61053
2022-06-01 13:10,315.82394,303.72528,297.23593,286.7494
2022-06-01 13:20,315.21088,302.5336,296.81982,282.32166
2022-06-01 13:30,312.76886,299.86975,295.214,280.7004
2022-06-01 13:40,310.33737,298.84012,292.6462,278.32718
2022-06-01 13:50,307.10806,296.82935,290.01715,277.9015
2022-06-01 14:00,304.72464,295.26178,288.41153,277.51764
2022-06-01 14:10,302.42896,293.42633,287.2748,277.59964
2022-06-01 14:20,300.73172,292.10147,285.72546,275.83566
2022-06-01 14:30,298.71213,290.8189,285.41296,277.67743
2022-06-01 14:40,296.61835,288.9839,284.46875,278.98672
2022-06-01 14:50,294.14438,286.37442,282.6713,278.85394
2022-06-01 15:00,292.564,285.18185,281.39688,278.07803
2022-06-01 15:10,293.00876,285.733,280.90518,276.26306
2022-06-01 15:20,293.37177,285.72546,280.80582,274.9776
2022-06-01 15:30,292.6958,285.1302,279.75854,272.45532
2022-06-01 15:40,293.68518,284.6977,279.6697,270.27798
2022-06-01 15:50,292.81424,283.56436,279.16556,269.53894
2022-06-01 16:00,292.5185,283.5967,278.17798,267.74323
2022-06-01 16:10,292.5638,283.80707,278.1755,267.61755
2022-06-01 16:20,292.36166,283.35098,277.0432,266.02026
2022-06-01 16:30,292.4343,283.3853,276.4599,265.2201
2022-06-01 16:40,291.38525,283.0237,276.28708,265.45572
2022-06-01 16:50,289.92905,282.0967,275.00394,263.90326
2022-06-01 17:00,288.47476,281.15408,274.28336,264.13693
2022-06-01 17:10,287.0974,280.08853,273.728,265.42755
2022-06-01 17:20,286.15836,278.9825,272.73782,266.0626
2022-06-01 17:30,284.95462,277.8749,271.87906,264.34763
2022-06-01 17:40,283.759,276.8574,270.7409,262.79056
2022-06-01 17:50,283.28262,276.6667,269.89194,261.86584
2022-06-01 18:00,282.6978,276.1592,269.0817,261.03506
2022-06-01 18:10,282.31494,275.70483,268.7434,260.99094
2022-06-01 18:20,282.08435,275.41367,268.29944,259.73923
2022-06-01 18:30,282.49362,275.695,268.16763,258.3391
2022-06-01 18:40,282.2188,275.27878,268.03967,258.42456
2022-06-01 18:50,282.20157,274.99734,267.66006,257.69827
2022-06-01 19:00,281.34113,274.32004,267.21548,257.7414
2022-06-01 19:10,281.0055,273.79007,266.5213,256.72275
2022-06-01 19:20,280.2688,272.92105,266.01498,257.013
2022-06-01 19:30,279.42072,272.20428,265.3496,257.59094
2022-06-01 19:40,278.9404,271.83777,265.12766,258.001
2022-06-01 19:50,278.75925,271.51956,264.76074,258.38437
2022-06-01 20:00,278.78693,271.7325,264.7075,258.53647
2022-06-01 20:10,278.3531,271.04727,263.95163,258.99182
2022-06-01 20:20,278.20438,270.97,263.79315,259.4539
2022-06-01 20:30,278.28964,270.9386,263.7827,258.32748
2022-06-01 20:40,277.86038,270.6853,263.4428,258.41428
2022-06-01 20:50,277.76154,270.41962,262.9271,258.60342
2022-06-01 21:00,278.3384,270.09323,262.57468,268.00433
2022-06-01 21:10,278.29446,270.0025,263.7006,270.15402
2022-06-01 21:20,278.6843,270.59378,266.56927,271.53943
2022-06-01 21:30,278.4615,271.47244,270.41223,271.81204
2022-06-01 21:40,279.23373,275.9553,275.6087,273.873
2022-06-01 21:50,283.295,278.72375,279.11996,274.21848
2022-06-01 22:00,290.13412,281.20306,279.83344,272.97534
2022-06-01 22:10,297.47394,283.57755,280.8453,272.1398
2022-06-01 22:20,302.58112,286.02786,282.51782,267.86505
2022-06-01 22:30,306.09436,289.68112,283.22253,267.08948
2022-06-01 22:40,307.91766,293.33105,285.9219,262.31866
2022-06-01 22:50,309.8342,295.4777,285.6743,258.4448
2022-06-01 23:00,309.47748,294.53897,285.4663,260.79572
2022-06-01 23:10,307.6804,291.9119,283.96735,263.0443
2022-06-01 23:20,303.22116,288.1403,280.12582,265.2879
2022-06-01 23:30,299.08093,286.1997,278.88043,268.8256
2022-06-01 23:40,293.81677,284.1702,280.9132,273.6433
2022-06-01 23:50,289.39468,283.52487,280.72247,276.3902
2022-06-02 00:00,286.55167,282.5061,279.61115,276.33228
2022-06-02 00:10,285.39575,281.3832,278.59308,276.35123
2022-06-02 00:20,284.81195,280.19687,277.68542,276.09964
2022-06-02 00:30,284.1325,278.5884,276.9511,276.13885
2022-06-02 00:40,284.24182,277.1805,275.38437,274.03293
2022-06-02 00:50,286.51862,277.25452,274.36975,272.1397
2022-06-02 01:00,289.14868,278.05426,273.78625,269.18954
2022-06-02 01:10,290.23135,278.20187,274.02277,266.0788
2022-06-02 01:20,290.42288,278.03268,273.99255,264.5699
2022-06-02 01:30,290.57693,278.8495,274.16904,262.6477
2022-06-02 01:40,290.0689,278.88174,273.78647,262.52087
2022-06-02 01:50,288.95123,277.70264,273.26898,262.5717
2022-06-02 02:00,288.3282,277.5653,273.18564,262.6561
2022-06-02 02:10,286.36813,276.53647,271.7484,262.7008
2022-06-02 02:20,284.45868,275.86047,270.11475,263.38196
2022-06-02 02:30,282.7528,274.99118,269.28052,266.2285
2022-06-02 02:40,281.30942,273.96277,268.70166,267.3627
2022-06-02 02:50,279.81158,272.78217,267.22375,266.4501
2022-06-02 03:00,279.63275,272.4924,266.7988,265.6606
2022-06-02 03:10,280.30255,272.8165,266.54236,264.71237
2022-06-02 03:20,279.82925,272.12036,265.52338,263.03937
2022-06-02 03:30,279.7229,271.99503,265.21735,262.76245
2022-06-02 03:40,279.7749,271.82565,264.98978,261.70395
2022-06-02 03:50,280.24844,271.7086,264.99686,260.9182
2022-06-02 04:00,281.09418,272.0145,266.14404,259.61493
2022-06-02 04:10,281.07993,272.07632,266.41962,258.49124
2022-06-02 04:20,280.66852,271.8524,266.02734,257.77872
2022-06-02 04:30,279.6867,270.97397,265.10965,258.0264
2022-06-02 04:40,279.35764,270.71262,264.693,257.8848
2022-06-02 04:50,278.6868,269.901,263.778,257.80896
2022-06-02 05:00,277.78397,269.25812,262.83112,257.4397
2022-06-02 05:10,277.09415,268.76068,262.1291,257.28787
2022-06-02 05:20,276.95135,267.5497,261.5244,257.51636
2022-06-02 05:30,276.5024,267.31412,261.09686,256.72607
2022-06-02 05:40,275.7123,267.14957,260.58853,256.8131
2022-06-02 05:50,274.9307,267.70514,260.57745,255.73782
2022-06-02 06:00,274.86063,268.0369,260.70456,256.15732
2022-06-02 06:10,274.8955,268.43948,260.99457,255.78685
2022-06-02 06:20,274.7762,268.44354,260.80212,255.806
