ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,280.81232,277.08716,275.2613,269.23267
2022-06-01 00:10,283.22067,276.91733,274.186,267.66714
2022-06-01 00:20,285.16266,276.9537,273.6595,265.54117
2022-06-01 00:30,286.46823,277.6439,273.43018,262.6609
2022-06-01 00:40,287.62692,278.17252,273.50885,259.1722
2022-06-01 00:50,286.96918,278.3132,273.14612,258.22308
2022-06-01 01:00,285.6433,277.8708,272.1662,257.7112
2022-06-01 01:10,284.55325,277.24356,271.52554,257.5467
2022-06-01 01:20,282.8064,276.6102,271.03387,258.18875
2022-06-01 01:30,281.06265,275.52292,270.5238,259.27695
2022-06-01 01:40,280.26587,274.77377,270.4135,259.38275
2022-06-01 01:50,278.68185,273.18353,270.17905,261.5644
2022-06-01 02:00,277.19516,273.21777,270.6435,262.28467
2022-06-01 02:10,276.53976,272.7402,270.3293,261.86627
2022-06-01 02:20,276.35376,272.48532,270.07068,261.56747
2022-06-01 02:30,276.48053,271.75357,269.0604,261.0366
2022-06-01 02:40,276.36295,271.24866,267.8509,260.52615
2022-06-01 02:50,276.4889,271.09882,267.62384,259.4905
2022-06-01 03:00,276.99768,271.02347,267.49414,258.74976
2022-06-01 03:10,277.80838,271.16098,267.0868,257.8166
2022-06-01 03:20,277.9809,271.3784,266.63943,257.29504
2022-06-01 03:30,278.28506,271.66324,266.6944,255.6112
2022-06-01 03:40,278.0271,271.69077,266.51636,255.0908
2022-06-01 03:50,277.7897,271.50473,266.08826,254.21643
2022-06-01 04:00,276.98962,271.0361,265.4728,254.34813
2022-06-01 04:10,276.23758,270.6045,265.08536,254.45438
2022-06-01 04:20,275.91138,269.97153,264.51624,254.72903
2022-06-01 04:30,274.93137,269.3098,263.50653,255.39928
2022-06-01 04:40,274.2445,268.9128,262.9949,255.47879
2022-06-01 04:50,274.68927,268.3239,263.37247,256.59344
2022-06-01 05:00,274.28687,269.2746,263.15747,256.76044
2022-06-01 05:10,273.76544,268.73642,262.20917,255.80844
2022-06-01 05:20,273.50714,268.84634,262.11044,254.92053
2022-06-01 05:30,273.72778,269.4427,262.3823,255.14307
2022-06-01 05:40,272.80493,269.07553,261.54456,254.12422
2022-06-01 05:50,272.31808,268.6076,261.07318,254.17416
2022-06-01 06:00,272.24026,268.55566,260.89575,253.8881
2022-06-01 06:10,272.02673,268.61423,260.73303,253.64072
2022-06-01 06:20,271.98206,269.0756,260.4926,252.58655
2022-06-01 06:30,272.3527,269.0198,260.17224,251.89394
2022-06-01 06:40,273.34756,269.33545,260.0008,250.23492
2022-06-01 06:50,273.1988,269.42337,259.97424,250.20001
2022-06-01 07:00,274.628,269.56842,260.98904,250.39993
2022-06-01 07:10,274.87598,269.73175,261.553,251.23492
2022-06-01 07:20,275.44293,269.49426,261.89542,251.29875
2022-06-01 07:30,275.4225,269.56082,262.32388,251.67392
2022-06-01 07:40,275.10907,269.5201,262.71048,254.58911
2022-06-01 07:50,276.07825,269.6148,262.79962,261.21033
2022-06-01 08:00,276.38135,269.74725,263.57123,269.3143
2022-06-01 08:10,276.17984,268.51825,264.08398,276.3029
2022-06-01 08:20,276.8186,269.76093,265.4911,284.5306
2022-06-01 08:30,277.23505,270.48,268.41824,291.41266
2022-06-01 08:40,277.77356,274.79337,280.44434,298.81516
2022-06-01 08:50,277.78046,284.76157,290.2653,304.87448
2022-06-01 09:00,283.23212,293.00372,298.29587,311.53305
2022-06-01 09:10,292.40903,295.47952,300.83176,308.94678
2022-06-01 09:20,303.5502,298.19366,304.06213,307.48264
2022-06-01 09:30,317.4212,303.54355,306.6651,310.14603
2022-06-01 09:40,329.03857,316.57388,314.6894,311.6814
2022-06-01 09:50,338.6726,329.03928,323.5912,313.75098
2022-06-01 10:00,345.09055,334.63452,328.83017,311.03473
2022-06-01 10:10,349.338,338.86765,331.0306,301.84454
2022-06-01 10:20,354.30322,341.68143,333.0351,296.56927
2022-06-01 10:30,356.6632,344.14816,334.0452,295.0248
2022-06-01 10:40,358.0506,345.45578,334.8944,293.7882
2022-06-01 10:50,356.84943,343.03537,332.8341,294.4402
2022-06-01 11:00,354.1018,338.50717,329.05466,297.4802
2022-06-01 11:10,349.21545,334.26715,325.3062,300.4347
2022-06-01 11:20,340.57654,328.7678,321.06256,303.76688
2022-06-01 11:30,331.42444,323.07095,317.50153,306.7425
2022-06-01 11:40,324.28882,317.74866,312.83923,300.94983
2022-06-01 11:50,319.1134,314.85855,310.8082,301.19376
2022-06-01 12:00,315.51978,313.39447,309.43735,300.8774
2022-06-01 12:10,312.8445,311.6908,307.63446,300.62662
2022-06-01 12:20,313.52505,307.9687,304.2586,297.92252
2022-06-01 12:30,312.96637,305.70685,300.99225,294.11227
2022-06-01 12:40,312.30286,304.8016,299.34143,290.3583
2022-06-01 12:50,311.25995,304.8031,298.50687,287.68805
2022-06-01 13:00,311.1009,304.2128,297.24255,283.36844
2022-06-01 13:10,311.20352,303.6091,295.7868,279.66275
2022-06-01 13:20,309.3418,300.66965,293.2929,278.1923
2022-06-01 13:30,307.4317,299.10434,291.43402,275.9069
2022-06-01 13:40,304.52066,296.66858,289.25482,275.2261
2022-06-01 13:50,301.6267,294.3524,287.60602,274.98672
2022-06-01 14:00,299.44147,292.36154,286.13733,274.95255
2022-06-01 14:10,296.71817,290.5728,284.3011,272.80362
2022-06-01 14:20,294.55334,288.50912,284.65344,275.27444
2022-06-01 14:30,292.67618,287.62408,284.12347,276.32117
2022-06-01 14:40,291.13336,285.52615,281.96783,276.01453
2022-06-01 14:50,288.1838,284.33176,281.1327,274.91428
2022-06-01 15:00,286.14432,285.59955,283.20444,273.0887
2022-06-01 15:10,287.10822,284.64563,282.66855,272.1593
2022-06-01 15:20,289.58664,284.2569,280.87787,270.7763
2022-06-01 15:30,291.5428,283.84778,279.3884,268.3701
2022-06-01 15:40,290.61694,283.0914,278.3885,267.73682
2022-06-01 15:50,289.96063,282.86316,277.24765,265.44955
2022-06-01 16:00,290.7621,283.4305,276.97873,265.6804
2022-06-01 16:10,289.71002,283.53293,276.5763,264.27063
2022-06-01 16:20,288.46106,282.65787,275.78375,263.55368
2022-06-01 16:30,288.00168,281.46097,275.46954,263.9855
2022-06-01 16:40,287.2973,280.87686,274.88376,263.1445
2022-06-01 16:50,286.5558,280.1581,274.5805,263.6076
2022-06-01 17:00,285.25214,279.21042,274.091,264.63693
2022-06-01 17:10,283.4123,277.61243,273.1435,264.97913
2022-06-01 17:20,282.5685,276.32104,271.7503,263.1513
2022-06-01 17:30,281.39847,275.57007,271.35535,262.39795
2022-06-01 17:40,280.85458,275.47318,270.84296,261.32913
2022-06-01 17:50,280.79498,275.602,270.43683,260.18073
2022-06-01 18:00,280.9645,275.60052,270.37592,260.29486
2022-06-01 18:10,281.18726,275.44376,269.99353,259.32968
2022-06-01 18:20,281.79218,275.44034,269.72577,258.09427
2022-06-01 18:30,281.74548,275.24283,269.77335,258.41458
2022-06-01 18:40,281.6112,275.067,269.35684,257.42468
2022-06-01 18:50,280.7644,274.30038,268.76474,257.75494
2022-06-01 19:00,280.34677,274.13306,268.4889,256.78223
2022-06-01 19:10,279.23245,273.49228,267.89774,257.13428
2022-06-01 19:20,278.44806,273.3195,267.5867,257.61304
2022-06-01 19:30,277.80667,272.49957,266.78217,258.36795
2022-06-01 19:40,277.50266,271.77377,266.20364,258.567
2022-06-01 19:50,277.1195,271.49326,266.05267,258.43143
2022-06-01 20:00,276.73474,270.45105,265.53925,259.09546
2022-06-01 20:10,276.28784,270.1272,265.549,259.72522
2022-06-01 20:20,276.62592,270.03415,265.78058,257.20218
2022-06-01 20:30,276.52704,270.28214,265.61902,257.47455
2022-06-01 20:40,276.2537,269.9677,265.16147,258.03006
2022-06-01 20:50,275.11795,268.88412,265.20114,266.46332
2022-06-01 21:00,275.2321,268.98972,265.66232,268.78976
2022-06-01 21:10,275.08087,268.6138,267.06882,269.9826
2022-06-01 21:20,275.24988,270.04306,270.62482,270.14465
2022-06-01 21:30,275.6083,275.88806,275.44397,270.25284
2022-06-01 21:40,279.71442,280.7333,278.81067,270.78613
2022-06-01 21:50,284.6541,282.02432,279.62634,269.70047
2022-06-01 22:00,293.00055,283.1144,280.4862,268.16724
2022-06-01 22:10,299.792,284.42422,282.02356,264.57486
2022-06-01 22:20,301.31836,288.13913,282.66138,262.64105
2022-06-01 22:30,301.75153,292.39902,285.35938,258.36215
2022-06-01 22:40,304.1497,294.51505,286.33643,255.46214
2022-06-01 22:50,303.18524,292.70987,285.07,257.60602
2022-06-01 23:00,301.8172,291.36383,282.67584,259.1558
2022-06-01 23:10,298.03674,288.21152,279.1435,261.7514
2022-06-01 23:20,293.0514,284.875,277.03397,264.3931
2022-06-01 23:30,288.2526,283.3083,276.4999,267.73843
2022-06-01 23:40,283.24234,281.73566,277.11853,270.9319
2022-06-01 23:50,280.1148,279.7395,276.0996,272.0508
2022-06-02 00:00,278.18134,278.892,276.539,272.67447
2022-06-02 00:10,278.10092,277.91476,275.85654,272.36514
2022-06-02 00:20,278.75043,277.73898,275.59787,272.28265
2022-06-02 00:30,281.04498,277.70792,275.31238,271.0686
2022-06-02 00:40,284.25357,277.84805,274.36707,269.4872
2022-06-02 00:50,286.41547,278.04233,274.54794,267.35068
2022-06-02 01:00,288.16498,278.18982,274.31583,264.18817
2022-06-02 01:10,288.04913,278.10593,274.33655,262.73526
2022-06-02 01:20,288.49637,279.37927,274.80554,259.74283
2022-06-02 01:30,287.33206,278.7007,274.16974,259.56958
2022-06-02 01:40,286.08163,277.55286,273.3069,259.61047
2022-06-02 01:50,285.0035,277.58798,272.8023,259.93268
2022-06-02 02:00,283.19528,276.05515,271.4936,260.21982
2022-06-02 02:10,281.1434,274.62497,270.7727,260.55402
2022-06-02 02:20,279.3205,273.88287,270.92346,262.7111
2022-06-02 02:30,278.23328,273.1936,270.11142,263.73636
2022-06-02 02:40,277.19507,273.18622,270.88974,263.6993
2022-06-02 02:50,276.76172,272.91687,270.76025,263.85947
2022-06-02 03:00,276.7288,272.39474,270.09106,262.40396
2022-06-02 03:10,276.81964,271.43002,268.69202,260.76453
2022-06-02 03:20,276.4287,271.05603,267.62726,260.625
2022-06-02 03:30,277.0093,270.82263,267.40643,259.4299
2022-06-02 03:40,277.8201,270.79858,267.08502,258.701
2022-06-02 03:50,278.79242,271.39658,267.39407,257.83908
2022-06-02 04:00,279.20554,271.50784,267.24615,257.3109
2022-06-02 04:10,279.07,271.63174,267.12146,256.58047
2022-06-02 04:20,278.41058,271.08044,266.5583,256.7183
2022-06-02 04:30,277.89197,270.84354,266.1432,256.6038
2022-06-02 04:40,277.32587,270.0928,265.57816,256.7188
2022-06-02 04:50,276.57983,269.3007,265.05795,257.1468
2022-06-02 05:00,275.60663,268.804,264.64764,257.33347
2022-06-02 05:10,275.151,268.54193,264.014,258.213
2022-06-02 05:20,274.53436,268.92313,263.41614,257.98578
2022-06-02 05:30,273.9774,268.48682,262.66415,257.80084
2022-06-02 05:40,273.84814,268.5602,262.5551,256.91208
2022-06-02 05:50,273.56253,268.88144,262.3586,256.89062
2022-06-02 06:00,272.783,268.7559,261.6858,255.90442
2022-06-02 06:10,272.48956,268.47092,261.34024,255.87839
2022-06-02 06:20,272.78522,268.79898,261.2361,254.66116
2022-06-02 06:30,273.09387,269.25864,261.37167,253.61905
2022-06-02 06:40,273.0362,269.2279,261.46616,253.65976
2022-06-02 06:50,273.75177,269.5029,261.0094,251.32007
2022-06-02 07:00,272.8186,268.83014,260.2977,251.582
2022-06-02 07:10,272.1662,268.80692,260.0181,251.59143
2022-06-02 07:20,271.5069,268.688,259.65353,251.7355
2022-06-02 07:30,271.37802,268.64062,259.69046,251.96341
2022-06-02 07:40,271.24323,268.88754,259.8374,252.05467
2022-06-02 07:50,270.82104,268.7274,259.9647,253.01114
2022-06-02 08:00,270.703,268.80072,259.9771,252.99094
2022-06-02 08:10,269.79605,268.62155,259.84827,253.3967
2022-06-02 08:20,269.51837,268.72998,259.7889,251.95068
2022-06-02 08:30,273.41498,269.46115,259.8646,248.44685
2022-06-02 08:40,278.42584,270.40683,260.39026,267.79648
2022-06-02 08:50,278.7275,270.73053,261.29382,270.36276
2022-06-02 09:00,278.95856,271.38248,263.6823,274.9839
2022-06-02 09:10,279.6419,272.03598,268.598,282.73755
2022-06-02 09:20,278.58337,276.9467,279.09717,285.71793
2022-06-02 09:30,278.84448,284.05154,285.97882,290.0381
2022-06-02 09:40,285.4112,289.6023,290.8801,294.7298
2022-06-02 09:50,295.86676,296.6811,299.68396,301.3436
2022-06-02 10:00,310.51245,302.49667,304.45917,306.0731
2022-06-02 10:10,317.6547,310.4089,308.3135,306.35117
2022-06-02 10:20,325.8469,321.58102,315.69592,307.19366
2022-06-02 10:30,334.99042,329.52362,324.03693,310.05408
2022-06-02 10:40,338.14053,331.1568,324.7256,303.2063
2022-06-02 10:50,343.0713,332.72095,324.63312,298.27264
2022-06-02 11:00,346.76385,335.73926,326.06696,293.4227
2022-06-02 11:10,349.11206,336.04675,326.47614,290.0735
2022-06-02 11:20,349.64746,336.19086,326.422,288.75537
2022-06-02 11:30,348.575,334.98538,324.7755,287.30386
2022-06-02 11:40,344.3042,331.74017,321.94177,290.17017
2022-06-02 11:50,337.8341,327.59073,317.7887,292.13235
2022-06-02 12:00,332.07642,319.47195,311.97824,294.57773
2022-06-02 12:10,324.71222,315.42056,309.7683,296.9779
2022-06-02 12:20,317.40833,312.53177,307.2165,297.371
2022-06-02 12:30,311.95206,308.77975,304.7747,297.27805
2022-06-02 12:40,307.7829,305.54196,302.41064,295.56174
2022-06-02 12:50,304.30527,302.938,299.5634,293.8323
2022-06-02 13:00,303.10852,301.00906,297.75833,290.9706
2022-06-02 13:10,303.35236,299.29956,295.72025,287.86194
2022-06-02 13:20,304.04883,297.7829,293.43173,284.7182
2022-06-02 13:30,304.47287,297.18045,291.31668,281.89413
2022-06-02 13:40,303.75772,296.08298,289.79272,278.78195
2022-06-02 13:50,302.81253,294.9365,288.20227,275.62857
2022-06-02 14:00,301.89694,294.3683,286.49777,271.74722
2022-06-02 14:10,299.74835,292.64304,284.71423,270.6759
2022-06-02 14:20,297.88843,290.56772,282.7058,268.7152
2022-06-02 14:30,296.27338,288.60712,281.14996,267.669
2022-06-02 14:40,294.93457,287.10403,280.80615,267.44803
2022-06-02 14:50,292.24976,284.77536,279.31802,268.04422
2022-06-02 15:00,289.77155,282.85648,277.92657,266.90555
2022-06-02 15:10,286.88867,282.40796,277.15228,265.79868
2022-06-02 15:20,283.91614,280.60266,276.3418,266.61972
2022-06-02 15:30,281.9013,279.97946,276.28574,268.8613
