ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,282.54987,277.06726,273.85583,270.11383
2022-06-01 00:10,284.36267,276.738,273.215,268.58575
2022-06-01 00:20,285.73743,276.72842,272.72467,265.32944
2022-06-01 00:30,287.00092,276.92,273.3508,262.00244
2022-06-01 00:40,287.54913,277.19122,274.42624,260.0425
2022-06-01 00:50,286.59668,277.33655,274.26532,259.0341
2022-06-01 01:00,285.14374,277.0655,273.49234,258.34647
2022-06-01 01:10,284.09027,276.79733,272.61554,258.48047
2022-06-01 01:20,282.93433,276.51495,271.93704,258.88748
2022-06-01 01:30,281.36725,275.7485,271.16486,260.23114
2022-06-01 01:40,280.22162,274.59863,270.44287,259.95142
2022-06-01 01:50,278.38614,273.19946,269.4653,261.47098
2022-06-01 02:00,277.26483,272.59613,268.90744,261.70984
2022-06-01 02:10,276.91724,272.4333,268.6256,261.5944
2022-06-01 02:20,276.27768,271.9434,267.8239,261.1613
2022-06-01 02:30,275.8661,271.38916,267.07513,260.79294
2022-06-01 02:40,275.78845,271.11792,266.5288,260.4765
2022-06-01 02:50,276.31183,271.36926,266.32355,259.4156
2022-06-01 03:00,277.19757,271.66553,266.2079,258.7116
2022-06-01 03:10,277.85568,271.89853,266.71094,258.16626
2022-06-01 03:20,277.9725,271.81683,266.69897,257.37537
2022-06-01 03:30,278.46362,271.80643,266.76343,255.54895
2022-06-01 03:40,278.516,272.16785,266.95142,255.12752
2022-06-01 03:50,278.532,272.15417,266.57355,254.4518
2022-06-01 04:00,277.78833,271.70026,265.83118,254.21803
2022-06-01 04:10,277.0268,271.30914,265.1811,254.14793
2022-06-01 04:20,276.76886,270.82703,264.85345,254.89262
2022-06-01 04:30,275.4419,270.67093,263.93048,256.32205
2022-06-01 04:40,274.77972,270.53278,263.32553,255.83022
2022-06-01 04:50,274.81543,269.69797,263.6374,256.67007
2022-06-01 05:00,274.6771,270.21094,263.72485,256.96146
2022-06-01 05:10,274.89877,270.57013,263.44348,256.0255
2022-06-01 05:20,275.24097,270.78232,263.46408,255.00812
2022-06-01 05:30,275.02985,270.9442,263.30615,254.91374
2022-06-01 05:40,274.9273,271.40485,263.0702,253.85097
2022-06-01 05:50,274.3836,271.1145,262.61206,253.70108
2022-06-01 06:00,274.1335,270.9214,262.36243,253.48381
2022-06-01 06:10,273.86255,270.8758,262.09518,253.3257
2022-06-01 06:20,273.89056,271.2289,261.9651,252.34227
2022-06-01 06:30,273.8636,271.03915,261.82166,252.01863
2022-06-01 06:40,274.35544,271.41443,261.75925,251.12321
2022-06-01 06:50,274.2494,271.68677,261.60513,250.68262
2022-06-01 07:00,274.7577,270.93433,261.9737,250.47168
2022-06-01 07:10,274.59912,270.47937,262.11584,251.1999
2022-06-01 07:20,274.5381,270.1516,262.1859,251.95308
2022-06-01 07:30,274.6903,270.06482,262.36328,252.54398
2022-06-01 07:40,274.0902,269.5229,262.14917,254.57329
2022-06-01 07:50,274.37296,268.94006,262.1386,259.55502
2022-06-01 08:00,274.5556,268.66675,263.46527,268.40286
2022-06-01 08:10,274.52417,268.39154,263.48236,275.3844
2022-06-01 08:20,275.2935,269.19922,268.24188,285.55112
2022-06-01 08:30,274.93472,269.04504,272.55707,292.82886
2022-06-01 08:40,275.50354,275.4356,280.8714,299.12616
2022-06-01 08:50,277.77722,285.1302,291.28113,302.2691
2022-06-01 09:00,287.27997,292.17032,297.85498,306.53845
2022-06-01 09:10,293.40503,296.52173,303.08963,306.86157
2022-06-01 09:20,301.4867,299.5051,308.05933,307.37033
2022-06-01 09:30,312.7325,303.50964,313.11807,309.626
2022-06-01 09:40,324.93127,314.1298,314.11426,310.3225
2022-06-01 09:50,335.0522,325.6247,321.86908,310.76282
2022-06-01 10:00,340.82623,332.84338,327.35498,308.39908
2022-06-01 10:10,346.39154,337.40552,331.7727,303.3155
2022-06-01 10:20,351.6283,341.38568,333.95306,299.0193
2022-06-01 10:30,354.95392,344.10577,335.03598,297.0202
2022-06-01 10:40,356.6907,346.08496,335.3727,296.26465
2022-06-01 10:50,356.16913,344.33057,333.6276,296.33157
2022-06-01 11:00,353.0647,340.36935,329.00024,298.85837
2022-06-01 11:10,348.88428,335.88574,324.54547,301.88416
2022-06-01 11:20,341.14658,328.88818,320.8576,304.81952
2022-06-01 11:30,332.7871,322.07095,317.74753,306.87427
2022-06-01 11:40,326.82928,318.2893,314.2461,303.37878
2022-06-01 11:50,319.8341,314.86917,312.76904,303.99384
2022-06-01 12:00,315.2824,312.36243,311.14984,302.66562
2022-06-01 12:10,312.86966,310.105,308.8222,301.8168
2022-06-01 12:20,311.7008,306.69827,304.82507,299.13538
2022-06-01 12:30,311.75586,304.53973,302.0263,295.09995
2022-06-01 12:40,311.54797,304.05,300.11414,290.78088
2022-06-01 12:50,311.45068,304.6305,299.2663,288.35095
2022-06-01 13:00,311.39935,304.00958,297.60214,284.6551
2022-06-01 13:10,311.31775,302.7719,296.19547,280.83142
2022-06-01 13:20,309.12097,300.47684,294.91452,278.80692
2022-06-01 13:30,307.1517,298.872,293.31335,276.6004
2022-06-01 13:40,303.92407,296.9317,291.26843,276.13092
2022-06-01 13:50,301.56775,294.52704,289.82208,275.59372
2022-06-01 14:00,299.32153,292.23257,288.15436,275.26505
2022-06-01 14:10,296.8919,290.55835,286.6271,273.43182
2022-06-01 14:20,294.4136,288.33463,284.8388,275.58694
2022-06-01 14:30,292.57007,286.60968,283.5546,276.49054
2022-06-01 14:40,290.56732,284.547,281.63513,276.2346
2022-06-01 14:50,289.10962,283.3872,280.8908,275.0584
2022-06-01 15:00,288.95978,284.0093,281.73267,272.48462
2022-06-01 15:10,288.7328,283.41595,280.8634,271.39966
